,Year,Team,Total_Athletes,total_medal,Country_host,GDP,NOC,Population
51,1964,Cuba,1,1,Japan,3085491848.2222223,CUB,7787146.0
52,1964,Czech Republic,51,54,Japan,,CZE,9727804.0
53,1964,Denmark,12,12,Japan,,DNK,4722072.0
54,1964,Ethiopia,1,1,Japan,319890971316.0,ETH,24397024.0
55,1964,Finland,5,5,Japan,6885920329.0,FIN,4548543.0
56,1964,France,28,31,Japan,85551113767.0,FRA,49449403.0
57,1964,Germany,103,116,Japan,,DEU,75318337.0
58,1964,Ghana,1,1,Japan,1540797589.0,GHA,7513289.0
59,1964,Hungary,53,56,Japan,241100242865.75,HUN,10119835.0
60,1964,India,15,15,Japan,47776000903.0,IND,487484535.0
61,1964,Iran,2,2,Japan,,IRN,24308085.0
62,1964,Ireland,1,1,Japan,2430843768.0,IRL,2866550.0
63,1964,Italy,46,51,Japan,57710743060.0,ITA,51675350.0
64,1964,Japan,54,62,Japan,69498131797.0,JPN,97826000.0
65,1964,Kenya,1,1,Japan,926589349.0,KEN,9200157.0
66,1964,Mexico,1,1,Japan,16936336000.0,MEX,43264272.0
67,1964,Netherlands,29,31,Japan,,NLD,12127120.0
68,1964,New Zealand,5,6,Japan,6638937283.0,NZL,2585400.0
69,1964,Nigeria,1,1,Japan,,NGA,49066059.0
70,1964,Pakistan,16,16,Japan,4540529105.0,PAK,49551904.0
71,1964,Philippines,1,1,Japan,,PHL,29962876.0
72,1964,Poland,41,46,Japan,6989699268.0,POL,31139450.0
73,1964,Romania,14,16,Japan,513784800000.0,ROU,18919126.0
74,1964,Russia,151,174,Japan,,RUS,125345000.0
75,1964,Serbia,14,15,Japan,,SRB,6968.213000000002
76,1964,South Korea,3,3,Japan,3988246109.0,KOR,27984155.0
77,1964,Sweden,15,15,Japan,18954132366.0,SWE,7661354.0
78,1964,Switzerland,5,6,Japan,,CHE,5789228.0
79,1964,Trinidad,4,6,Japan,678235373.0,TTO,903275.0
80,1964,Tunisia,2,2,Japan,5516895464.5,TUN,4458611.0
81,1964,Turkey,6,6,Japan,10355555556.0,TUR,30244232.0
82,1964,UK,24,28,Japan,85443766670.0,GBR,54000000.0
83,1964,USA,142,169,Japan,638600000000.0,USA,191889000.0
84,1964,Uruguay,1,1,Japan,,URY,2665390.0
85,1968,Argentina,2,2,Meixo,24256667553.0,ARG,23261278.0
86,1968,Australia,45,51,Meixo,30421099787.0,AUS,12009000.0
87,1968,Austria,5,5,Meixo,11579431669.0,AUT,7415403.0
88,1968,Belgium,3,3,Meixo,19992040788.0,BEL,9618756.0
89,1968,Brazil,4,4,Meixo,30591834054.0,BRA,90557064.0
90,1968,Bulgaria,26,26,Meixo,,BGR,8369603.0
91,1968,Cameroon,1,1,Meixo,934079050.0,CMR,6208282.0
92,1968,Canada,8,10,Meixo,64768831262.0,CAN,20744000.0
93,1968,Cuba,10,10,Meixo,4348182194.222222,CUB,8413327.0
94,1968,Czech Republic,24,29,Meixo,,CZE,9876346.0
95,1968,Denmark,16,17,Meixo,,DNK,4864883.0
96,1968,Ethiopia,1,2,Meixo,451329039742.6667,ETH,26946079.0
97,1968,Finland,4,4,Meixo,9368954010.0,FIN,4626469.0
98,1968,France,22,27,Meixo,119466000000.0,FRA,51276054.0
99,1968,Germany,96,103,Meixo,,DEU,77294314.0
100,1968,Greece,1,1,Meixo,,GRC,8740765.0
101,1968,Hungary,75,81,Meixo,316417320019.75,HUN,10255815.0
102,1968,India,14,16,Meixo,49466168893.0,IND,529967317.0
103,1968,Iran,5,5,Meixo,,IRN,27032943.0
104,1968,Italy,31,33,Meixo,81133120065.0,ITA,53235750.0
105,1968,Jamaica,1,1,Meixo,1148025407.0,JAM,1825633.0
106,1968,Japan,52,63,Meixo,123782000000.0,JPN,101061000.0
107,1968,Kenya,10,12,Meixo,1232559506.0,KEN,10502245.0
108,1968,Mexico,9,9,Meixo,26556376000.0,MEX,48894019.0
109,1968,Mongolia,4,4,Meixo,,MNG,1207104.0
110,1968,Netherlands,14,14,Meixo,,NLD,12729721.0
111,1968,New Zealand,7,7,Meixo,5961418094.0,NZL,2748100.0
112,1968,Norway,6,6,Meixo,9514496703.0,NOR,3816486.0
113,1968,Pakistan,13,13,Meixo,7403821903.0,PAK,55042397.0
114,1968,Poland,36,37,Meixo,7670775757.0,POL,32294655.0
115,1968,Romania,23,23,Meixo,190272193.5,ROU,19799831.0
116,1968,Russia,159,192,Meixo,,RUS,128928000.0
117,1968,Serbia,28,29,Meixo,,SRB,7214.0205
118,1968,South Korea,2,2,Meixo,4854576371.0,KOR,30838302.0
119,1968,Sweden,8,9,Meixo,27463409202.0,SWE,7912273.0
120,1968,Switzerland,13,13,Meixo,,CHE,6067714.0
121,1968,Taiwan,1,1,Meixo,,TPE,14215.584500000004
122,1968,Tunisia,1,2,Meixo,1085714286.0,TUN,4842167.0
123,1968,Turkey,2,2,Meixo,15666666667.0,TUR,33256432.0
124,1968,UK,18,19,Meixo,111185000000.0,GBR,55211700.0
125,1968,USA,116,166,Meixo,861700000000.0,USA,200706000.0
126,1968,Uganda,2,2,Meixo,967647059.0,UGA,8872920.0
